ID,Type,From,To,Amount,Txn,ether,USD,date
4924,Sold,0xc352b5,Pranksy,"8Ξ ($1,647)","May 27, 2020",8,1647,2020-05-27
4926,Sold,0xc272ed,6345309,"45Ξ ($82,179)","Mar 11, 2021",45,82179,2021-03-11
4929,Sold,0xa3cb30,7097068,"15.50Ξ ($33,048)","Apr 06, 2021",15.5,33048,2021-04-06
4930,Sold,pinkiepi…,Novo311,"5.30Ξ ($3,278)","Dec 23, 2020",5.3,3278,2020-12-23
4930,Sold,Dude_Nak…,0x257e2b,"6.99Ξ ($2,639)","Oct 15, 2020",6.99,2639,2020-10-15
4930,Sold,Thing,Dude_Nak…,"7.19Ξ ($2,531)","Oct 05, 2020",7.19,2531,2020-10-05
4930,Sold,GoWest23,Thing,"7.05Ξ ($2,560)","Sep 28, 2020",7.05,2560,2020-09-28
4930,Sold,0x19f233,GoWest23,0.50Ξ ($67),"Jan 04, 2020",0.5,67,2020-01-04
4932,Sold,Michel_M…,0x052564,"3.85Ξ ($1,332)","Sep 24, 2020",3.85,1332,2020-09-24
4932,Sold,Sylveste…,Michel_M…,1.99Ξ ($759),"Sep 20, 2020",1.99,759,2020-09-20
4932,Sold,DANNY,Sylveste…,2Ξ ($753),"Sep 15, 2020",2,753,2020-09-15
4932,Sold,Hemba,DANNY,1.10Ξ ($222),"May 14, 2020",1.1,222,2020-05-14
4933,Sold,0xe754d1,gaus,"2.95Ξ ($1,047)","Sep 26, 2020",2.95,1047,2020-09-26
4933,Sold,Pranksy,0xe754d1,2.89Ξ ($994),"Sep 25, 2020",2.89,994,2020-09-25
4933,Sold,Hemba,Pranksy,2.30Ξ ($796),"Sep 24, 2020",2.3,796,2020-09-24
4938,Sold,11579573,Snowfro,0.33Ξ ($53),"Feb 23, 2019",0.33,53,2019-02-23
4939,Sold,Pranksy,ddaavvee,2.19Ξ ($736),"Sep 24, 2020",2.19,736,2020-09-24
4939,Sold,Hemba,Pranksy,1.80Ξ ($613),"Sep 22, 2020",1.8,613,2020-09-22
4940,Sold,0xaea8e3,8769867,"69.99Ξ ($148,813)","Apr 11, 2021",69.99,148813,2021-04-11
4940,Sold,0xe03559,11446499,"40Ξ ($62,304)","Mar 02, 2021",40,62304,2021-03-02
4941,Sold,0x09d408,0x769eec,"24.99Ξ ($51,576)","Apr 08, 2021",24.99,51576,2021-04-08
4941,Sold,0x6ec30f,0x09d408,"23.97Ξ ($43,105)","Mar 21, 2021",23.97,43105,2021-03-21
4941,Sold,0x29b1b2,0x6ec30f,"24.30Ξ ($44,014)","Mar 17, 2021",24.3,44014,2021-03-17
4941,Sold,Fanny,0x29b1b2,"30Ξ ($49,467)","Feb 24, 2021",30,49467,2021-02-24
4941,Sold,0xb0b0b5,Fanny,0.39Ξ ($61),"Jan 04, 2019",0.39,61,2019-01-04
4942,Sold,0x0a4eaf…,CryptoPa…,"4.17Ξ ($5,635)","Jan 21, 2021",4.17,5635,2021-01-21
4942,Sold,0xc00c2b,0x0a4eaf…,0.27Ξ ($56),"Aug 13, 2019",0.27,56,2019-08-13
4943,Sold,Hemba,0xd8e806,0.45Ξ ($92),"Jul 13, 2017",0.45,92,2017-07-13
4945,Sold,👨🏻‍🌾.…,0xaf812e,"25Ξ ($51,597)","Apr 08, 2021",25,51597,2021-04-08
4945,Sold,0x07c5ea,👨🏻‍🌾.…,"14.75Ξ ($26,824)","Feb 14, 2021",14.75,26824,2021-02-14
4945,Sold,Deeze,0x34e801,"8.99Ξ ($11,834)","Feb 01, 2021",8.99,11834,2021-02-01
4945,Sold,0x5b098b,Deeze,"7.45Ξ ($9,390)","Jan 27, 2021",7.45,9390,2021-01-27
4946,Sold,11579573,5966219,0.38Ξ ($41),"Nov 26, 2018",0.38,41,2018-11-26
4948,Sold,1742511,Ravachol,0.56Ξ ($108),"Apr 27, 2020",0.56,108,2020-04-27
4951,Sold,W_M_Peas…,0x568cf5,"5.75Ξ ($2,088)","Sep 28, 2020",5.75,2088,2020-09-28
4951,Sold,Pranksy,W_M_Peas…,"4.79Ξ ($1,742)","Sep 28, 2020",4.79,1742,2020-09-28
4951,Sold,zonted,Pranksy,"3.95Ξ ($1,413)","Sep 28, 2020",3.95,1413,2020-09-28
4951,Sold,Pranksy,zonted,2.75Ξ ($949),"Sep 25, 2020",2.75,949,2020-09-25
4951,Sold,Hemba,Pranksy,2.30Ξ ($796),"Sep 24, 2020",2.3,796,2020-09-24
4953,Sold,8533182,10135275,0.15Ξ ($58),"Apr 07, 2018",0.15,58,2018-04-07
4955,Sold,MadMax,0x07adba,"15.55Ξ ($30,357)","Feb 21, 2021",15.55,30357,2021-02-21
4955,Sold,0xccc230,MadMax,"8Ξ ($15,462)","Feb 21, 2021",8,15462,2021-02-21
4956,Sold,SenecaEt…,0x5293d8,"6Ξ ($7,603)","Jan 09, 2021",6,7603,2021-01-09
4956,Sold,0xcbdde8,SenecaEt…,"5Ξ ($1,838)","Oct 17, 2020",5,1838,2020-10-17
4956,Sold,0x00d7c9,KittyGr_…,0.10Ξ ($60),"Jun 08, 2018",0.1,60,2018-06-08
4957,Sold,0x4affe1,0x14ae81,"25.95Ξ ($49,546)","Mar 13, 2021",25.95,49546,2021-03-13
4957,Sold,0x48d1f7,0x4affe1,"22.50Ξ ($34,052)","Mar 01, 2021",22.5,34052,2021-03-01
4957,Sold,MadMax,0x48d1f7,"28.75Ξ ($51,272)","Feb 22, 2021",28.75,51272,2021-02-22
4957,Sold,0xb10004,MadMax,"25Ξ ($44,047)","Feb 22, 2021",25,44047,2021-02-22
